/home/haoran/.local/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
[0: 0/379] train loss: 2.733173 accuracy: 0.062500
[0: 0/379] [94mtest[39m loss: 2.739596 accuracy: 0.000000
[0: 1/379] train loss: 2.991541 accuracy: 0.156250
[0: 2/379] train loss: 2.335900 accuracy: 0.375000
[0: 3/379] train loss: 1.985957 accuracy: 0.531250
[0: 4/379] train loss: 1.960928 accuracy: 0.531250
[0: 5/379] train loss: 1.762150 accuracy: 0.562500
[0: 6/379] train loss: 1.360413 accuracy: 0.843750
[0: 7/379] train loss: 1.264373 accuracy: 0.718750
[0: 8/379] train loss: 1.641748 accuracy: 0.500000
[0: 9/379] train loss: 1.283932 accuracy: 0.750000
[0: 10/379] train loss: 1.381995 accuracy: 0.718750
[0: 10/379] [94mtest[39m loss: 2.630609 accuracy: 0.218750
[0: 11/379] train loss: 1.012035 accuracy: 0.812500
[0: 12/379] train loss: 1.090661 accuracy: 0.781250
[0: 13/379] train loss: 1.034300 accuracy: 0.656250
[0: 14/379] train loss: 0.988806 accuracy: 0.781250
[0: 15/379] train loss: 0.607742 accuracy: 0.843750
[0: 16/379] train loss: 0.995088 accuracy: 0.750000
[0: 17/379] train loss: 0.686292 accuracy: 0.781250
[0: 18/379] train loss: 0.723500 accuracy: 0.781250
[0: 19/379] train loss: 1.179950 accuracy: 0.625000
[0: 20/379] train loss: 0.937392 accuracy: 0.718750
[0: 20/379] [94mtest[39m loss: 2.390247 accuracy: 0.156250
[0: 21/379] train loss: 1.437655 accuracy: 0.593750
[0: 22/379] train loss: 1.265730 accuracy: 0.656250
[0: 23/379] train loss: 0.858232 accuracy: 0.750000
[0: 24/379] train loss: 1.066536 accuracy: 0.656250
[0: 25/379] train loss: 0.883795 accuracy: 0.718750
[0: 26/379] train loss: 0.672686 accuracy: 0.843750
[0: 27/379] train loss: 1.073965 accuracy: 0.750000
[0: 28/379] train loss: 0.981638 accuracy: 0.625000
[0: 29/379] train loss: 0.597560 accuracy: 0.875000
[0: 30/379] train loss: 0.916241 accuracy: 0.718750
[0: 30/379] [94mtest[39m loss: 2.363751 accuracy: 0.156250
[0: 31/379] train loss: 0.978524 accuracy: 0.718750
[0: 32/379] train loss: 0.501155 accuracy: 0.937500
[0: 33/379] train loss: 0.755864 accuracy: 0.812500
[0: 34/379] train loss: 0.765741 accuracy: 0.812500
[0: 35/379] train loss: 1.086268 accuracy: 0.750000
[0: 36/379] train loss: 0.588203 accuracy: 0.843750
[0: 37/379] train loss: 0.547827 accuracy: 0.937500
