/home/haoran/.local/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
[0: 0/379] train loss: 2.824306 accuracy: 0.031250
[0: 0/379] [94mtest[39m loss: 2.769274 accuracy: 0.000000
[0: 1/379] train loss: 2.779741 accuracy: 0.156250
[0: 2/379] train loss: 2.506334 accuracy: 0.406250
[0: 3/379] train loss: 2.316953 accuracy: 0.437500
[0: 4/379] train loss: 1.782032 accuracy: 0.687500
[0: 5/379] train loss: 1.685059 accuracy: 0.593750
[0: 6/379] train loss: 1.523007 accuracy: 0.687500
[0: 7/379] train loss: 1.268946 accuracy: 0.750000
[0: 8/379] train loss: 1.098348 accuracy: 0.750000
[0: 9/379] train loss: 0.982094 accuracy: 0.781250
[0: 10/379] train loss: 1.300438 accuracy: 0.687500
[0: 10/379] [94mtest[39m loss: 2.518419 accuracy: 0.281250
[0: 11/379] train loss: 1.083611 accuracy: 0.718750
[0: 12/379] train loss: 1.128836 accuracy: 0.687500
[0: 13/379] train loss: 1.451442 accuracy: 0.500000
[0: 14/379] train loss: 1.128023 accuracy: 0.687500
[0: 15/379] train loss: 1.553331 accuracy: 0.468750
[0: 16/379] train loss: 1.404320 accuracy: 0.562500
[0: 17/379] train loss: 1.151350 accuracy: 0.656250
[0: 18/379] train loss: 0.946975 accuracy: 0.781250
[0: 19/379] train loss: 1.101659 accuracy: 0.593750
[0: 20/379] train loss: 1.439231 accuracy: 0.593750
[0: 20/379] [94mtest[39m loss: 2.680093 accuracy: 0.218750
[0: 21/379] train loss: 1.193923 accuracy: 0.656250
[0: 22/379] train loss: 1.054396 accuracy: 0.687500
[0: 23/379] train loss: 1.109666 accuracy: 0.718750
[0: 24/379] train loss: 0.874470 accuracy: 0.718750
[0: 25/379] train loss: 1.038847 accuracy: 0.656250
[0: 26/379] train loss: 0.964343 accuracy: 0.750000
[0: 27/379] train loss: 1.238624 accuracy: 0.625000
[0: 28/379] train loss: 0.674547 accuracy: 0.812500
[0: 29/379] train loss: 1.365939 accuracy: 0.656250
[0: 30/379] train loss: 0.866339 accuracy: 0.781250
[0: 30/379] [94mtest[39m loss: 2.497079 accuracy: 0.218750
[0: 31/379] train loss: 1.065211 accuracy: 0.625000
[0: 32/379] train loss: 1.091780 accuracy: 0.656250
[0: 33/379] train loss: 0.696217 accuracy: 0.812500
[0: 34/379] train loss: 0.660690 accuracy: 0.906250
[0: 35/379] train loss: 1.021938 accuracy: 0.656250
[0: 36/379] train loss: 0.832722 accuracy: 0.750000
[0: 37/379] train loss: 1.191109 accuracy: 0.625000
[0: 38/379] train loss: 0.784727 accuracy: 0.750000
[0: 39/379] train loss: 0.989896 accuracy: 0.656250
[0: 40/379] train loss: 0.610846 accuracy: 0.843750
[0: 40/379] [94mtest[39m loss: 1.513471 accuracy: 0.531250
[0: 41/379] train loss: 0.684939 accuracy: 0.750000
[0: 42/379] train loss: 0.573937 accuracy: 0.875000
[0: 43/379] train loss: 0.564470 accuracy: 0.875000
[0: 44/379] train loss: 1.807025 accuracy: 0.687500
[0: 45/379] train loss: 0.684480 accuracy: 0.781250
[0: 46/379] train loss: 0.872365 accuracy: 0.781250
[0: 47/379] train loss: 0.892302 accuracy: 0.750000
[0: 48/379] train loss: 0.563379 accuracy: 0.843750
