/home/haoran/.local/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
[0: 0/379] train loss: 2.760370 accuracy: 0.031250
[0: 0/379] [94mtest[39m loss: 2.745017 accuracy: 0.343750
[0: 1/379] train loss: 2.262793 accuracy: 0.500000
[0: 2/379] train loss: 2.130759 accuracy: 0.437500
[0: 3/379] train loss: 1.952174 accuracy: 0.562500
[0: 4/379] train loss: 1.693499 accuracy: 0.531250
[0: 5/379] train loss: 1.715421 accuracy: 0.656250
[0: 6/379] train loss: 1.420696 accuracy: 0.687500
[0: 7/379] train loss: 1.256689 accuracy: 0.781250
[0: 8/379] train loss: 1.342679 accuracy: 0.687500
[0: 9/379] train loss: 1.356545 accuracy: 0.656250
[0: 10/379] train loss: 0.958846 accuracy: 0.750000
[0: 10/379] [94mtest[39m loss: 2.804933 accuracy: 0.093750
[0: 11/379] train loss: 0.795179 accuracy: 0.781250
[0: 12/379] train loss: 1.073093 accuracy: 0.718750
[0: 13/379] train loss: 1.397313 accuracy: 0.656250
[0: 14/379] train loss: 1.027097 accuracy: 0.687500
[0: 15/379] train loss: 1.460987 accuracy: 0.625000
[0: 16/379] train loss: 1.078196 accuracy: 0.656250
[0: 17/379] train loss: 0.856808 accuracy: 0.781250
[0: 18/379] train loss: 1.206722 accuracy: 0.593750
[0: 19/379] train loss: 0.686581 accuracy: 0.812500
[0: 20/379] train loss: 0.754237 accuracy: 0.843750
[0: 20/379] [94mtest[39m loss: 2.488887 accuracy: 0.250000
[0: 21/379] train loss: 0.765415 accuracy: 0.781250
[0: 22/379] train loss: 0.771840 accuracy: 0.781250
[0: 23/379] train loss: 0.812519 accuracy: 0.750000
[0: 24/379] train loss: 1.557678 accuracy: 0.500000
[0: 25/379] train loss: 0.931880 accuracy: 0.718750
[0: 26/379] train loss: 1.179777 accuracy: 0.718750
[0: 27/379] train loss: 1.110123 accuracy: 0.656250
[0: 28/379] train loss: 0.797588 accuracy: 0.718750
[0: 29/379] train loss: 0.700405 accuracy: 0.812500
[0: 30/379] train loss: 0.745771 accuracy: 0.781250
[0: 30/379] [94mtest[39m loss: 1.930199 accuracy: 0.343750
[0: 31/379] train loss: 1.004601 accuracy: 0.718750
[0: 32/379] train loss: 0.777285 accuracy: 0.812500
[0: 33/379] train loss: 1.161719 accuracy: 0.656250
[0: 34/379] train loss: 0.784712 accuracy: 0.750000
[0: 35/379] train loss: 1.259317 accuracy: 0.625000
[0: 36/379] train loss: 0.826074 accuracy: 0.781250
[0: 37/379] train loss: 0.643074 accuracy: 0.812500
