Random Seed:  6058
{'Airplane': 0, 'Bag': 1, 'Cap': 2, 'Car': 3, 'Chair': 4, 'Earphone': 5, 'Guitar': 6, 'Knife': 7, 'Lamp': 8, 'Laptop': 9, 'Motorbike': 10, 'Mug': 11, 'Pistol': 12, 'Rocket': 13, 'Skateboard': 14, 'Table': 15}
{'Airplane': 4, 'Bag': 2, 'Cap': 2, 'Car': 4, 'Chair': 4, 'Earphone': 3, 'Guitar': 3, 'Knife': 2, 'Lamp': 4, 'Laptop': 2, 'Motorbike': 6, 'Mug': 2, 'Pistol': 3, 'Rocket': 3, 'Skateboard': 3, 'Table': 3} 4
{'Airplane': 0, 'Bag': 1, 'Cap': 2, 'Car': 3, 'Chair': 4, 'Earphone': 5, 'Guitar': 6, 'Knife': 7, 'Lamp': 8, 'Laptop': 9, 'Motorbike': 10, 'Mug': 11, 'Pistol': 12, 'Rocket': 13, 'Skateboard': 14, 'Table': 15}
{'Airplane': 4, 'Bag': 2, 'Cap': 2, 'Car': 4, 'Chair': 4, 'Earphone': 3, 'Guitar': 3, 'Knife': 2, 'Lamp': 4, 'Laptop': 2, 'Motorbike': 6, 'Mug': 2, 'Pistol': 3, 'Rocket': 3, 'Skateboard': 3, 'Table': 3} 4
{'Airplane': 0, 'Bag': 1, 'Cap': 2, 'Car': 3, 'Chair': 4, 'Earphone': 5, 'Guitar': 6, 'Knife': 7, 'Lamp': 8, 'Laptop': 9, 'Motorbike': 10, 'Mug': 11, 'Pistol': 12, 'Rocket': 13, 'Skateboard': 14, 'Table': 15}
{'Airplane': 4, 'Bag': 2, 'Cap': 2, 'Car': 4, 'Chair': 4, 'Earphone': 3, 'Guitar': 3, 'Knife': 2, 'Lamp': 4, 'Laptop': 2, 'Motorbike': 6, 'Mug': 2, 'Pistol': 3, 'Rocket': 3, 'Skateboard': 3, 'Table': 3} 4
12137 2874
classes 16
/home/haoran/.local/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
[0: 0/379] train loss: 2.810264 accuracy: 0.031250
[0: 0/379] [94mtest[39m loss: 2.761418 accuracy: 0.218750
[0: 1/379] train loss: 2.741936 accuracy: 0.156250
[0: 2/379] train loss: 2.396325 accuracy: 0.375000
[0: 3/379] train loss: 1.917340 accuracy: 0.562500
[0: 4/379] train loss: 1.813206 accuracy: 0.593750
[0: 5/379] train loss: 1.646636 accuracy: 0.593750
[0: 6/379] train loss: 1.302781 accuracy: 0.781250
[0: 7/379] train loss: 1.369568 accuracy: 0.750000
[0: 8/379] train loss: 0.956969 accuracy: 0.843750
[0: 9/379] train loss: 1.108803 accuracy: 0.718750
[0: 10/379] train loss: 1.254777 accuracy: 0.718750
[0: 10/379] [94mtest[39m loss: 2.565113 accuracy: 0.187500
[0: 11/379] train loss: 1.439849 accuracy: 0.625000
[0: 12/379] train loss: 1.257977 accuracy: 0.687500
[0: 13/379] train loss: 1.316488 accuracy: 0.625000
[0: 14/379] train loss: 0.918338 accuracy: 0.718750
[0: 15/379] train loss: 1.238230 accuracy: 0.718750
[0: 16/379] train loss: 0.892551 accuracy: 0.687500
[0: 17/379] train loss: 0.977462 accuracy: 0.687500
[0: 18/379] train loss: 1.213300 accuracy: 0.687500
[0: 19/379] train loss: 0.914889 accuracy: 0.781250
[0: 20/379] train loss: 0.950719 accuracy: 0.781250
[0: 20/379] [94mtest[39m loss: 2.536263 accuracy: 0.281250
[0: 21/379] train loss: 1.611519 accuracy: 0.437500
[0: 22/379] train loss: 0.727463 accuracy: 0.812500
[0: 23/379] train loss: 0.885759 accuracy: 0.781250
[0: 24/379] train loss: 1.094664 accuracy: 0.687500
[0: 25/379] train loss: 0.682421 accuracy: 0.812500
[0: 26/379] train loss: 0.551239 accuracy: 0.875000
[0: 27/379] train loss: 0.949329 accuracy: 0.718750
[0: 28/379] train loss: 0.547730 accuracy: 0.906250
[0: 29/379] train loss: 1.359879 accuracy: 0.625000
[0: 30/379] train loss: 0.997671 accuracy: 0.625000
[0: 30/379] [94mtest[39m loss: 2.631649 accuracy: 0.187500
[0: 31/379] train loss: 0.888523 accuracy: 0.718750
[0: 32/379] train loss: 0.994846 accuracy: 0.718750
[0: 33/379] train loss: 0.890912 accuracy: 0.656250
[0: 34/379] train loss: 0.963230 accuracy: 0.656250
