Random Seed:  6694
{'Airplane': 0, 'Bag': 1, 'Cap': 2, 'Car': 3, 'Chair': 4, 'Earphone': 5, 'Guitar': 6, 'Knife': 7, 'Lamp': 8, 'Laptop': 9, 'Motorbike': 10, 'Mug': 11, 'Pistol': 12, 'Rocket': 13, 'Skateboard': 14, 'Table': 15}
{'Airplane': 4, 'Bag': 2, 'Cap': 2, 'Car': 4, 'Chair': 4, 'Earphone': 3, 'Guitar': 3, 'Knife': 2, 'Lamp': 4, 'Laptop': 2, 'Motorbike': 6, 'Mug': 2, 'Pistol': 3, 'Rocket': 3, 'Skateboard': 3, 'Table': 3} 4
{'Airplane': 0, 'Bag': 1, 'Cap': 2, 'Car': 3, 'Chair': 4, 'Earphone': 5, 'Guitar': 6, 'Knife': 7, 'Lamp': 8, 'Laptop': 9, 'Motorbike': 10, 'Mug': 11, 'Pistol': 12, 'Rocket': 13, 'Skateboard': 14, 'Table': 15}
{'Airplane': 4, 'Bag': 2, 'Cap': 2, 'Car': 4, 'Chair': 4, 'Earphone': 3, 'Guitar': 3, 'Knife': 2, 'Lamp': 4, 'Laptop': 2, 'Motorbike': 6, 'Mug': 2, 'Pistol': 3, 'Rocket': 3, 'Skateboard': 3, 'Table': 3} 4
{'Airplane': 0, 'Bag': 1, 'Cap': 2, 'Car': 3, 'Chair': 4, 'Earphone': 5, 'Guitar': 6, 'Knife': 7, 'Lamp': 8, 'Laptop': 9, 'Motorbike': 10, 'Mug': 11, 'Pistol': 12, 'Rocket': 13, 'Skateboard': 14, 'Table': 15}
{'Airplane': 4, 'Bag': 2, 'Cap': 2, 'Car': 4, 'Chair': 4, 'Earphone': 3, 'Guitar': 3, 'Knife': 2, 'Lamp': 4, 'Laptop': 2, 'Motorbike': 6, 'Mug': 2, 'Pistol': 3, 'Rocket': 3, 'Skateboard': 3, 'Table': 3} 4
12137 2874
classes 16
/home/haoran/.local/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
[0: 0/379] train loss: 2.716651 accuracy: 0.187500
[0: 0/379] [94mtest[39m loss: 2.751430 accuracy: 0.343750
[0: 1/379] train loss: 2.474781 accuracy: 0.281250
[0: 2/379] train loss: 2.107683 accuracy: 0.437500
[0: 3/379] train loss: 1.967479 accuracy: 0.562500
[0: 4/379] train loss: 1.899588 accuracy: 0.562500
[0: 5/379] train loss: 1.626448 accuracy: 0.562500
[0: 6/379] train loss: 1.225703 accuracy: 0.750000
[0: 7/379] train loss: 1.312849 accuracy: 0.687500
[0: 8/379] train loss: 1.041836 accuracy: 0.843750
[0: 9/379] train loss: 1.026523 accuracy: 0.750000
[0: 10/379] train loss: 1.288006 accuracy: 0.656250
[0: 10/379] [94mtest[39m loss: 2.780298 accuracy: 0.281250
[0: 11/379] train loss: 1.202121 accuracy: 0.656250
[0: 12/379] train loss: 1.466826 accuracy: 0.562500
[0: 13/379] train loss: 0.971494 accuracy: 0.718750
[0: 14/379] train loss: 0.996563 accuracy: 0.750000
[0: 15/379] train loss: 0.870411 accuracy: 0.781250
[0: 16/379] train loss: 0.774062 accuracy: 0.812500
[0: 17/379] train loss: 0.853521 accuracy: 0.781250
[0: 18/379] train loss: 0.777304 accuracy: 0.781250
[0: 19/379] train loss: 1.146195 accuracy: 0.656250
[0: 20/379] train loss: 0.919269 accuracy: 0.718750
[0: 20/379] [94mtest[39m loss: 2.645916 accuracy: 0.156250
[0: 21/379] train loss: 0.800373 accuracy: 0.750000
[0: 22/379] train loss: 0.997042 accuracy: 0.718750
[0: 23/379] train loss: 0.700863 accuracy: 0.812500
[0: 24/379] train loss: 0.943881 accuracy: 0.812500
[0: 25/379] train loss: 1.014655 accuracy: 0.625000
[0: 26/379] train loss: 1.022402 accuracy: 0.781250
[0: 27/379] train loss: 0.893792 accuracy: 0.750000
[0: 28/379] train loss: 0.981391 accuracy: 0.718750
[0: 29/379] train loss: 0.781160 accuracy: 0.812500
[0: 30/379] train loss: 0.826779 accuracy: 0.718750
[0: 30/379] [94mtest[39m loss: 2.158038 accuracy: 0.281250
[0: 31/379] train loss: 0.764520 accuracy: 0.781250
[0: 32/379] train loss: 0.879165 accuracy: 0.781250
[0: 33/379] train loss: 1.045622 accuracy: 0.781250
[0: 34/379] train loss: 1.202147 accuracy: 0.687500
[0: 35/379] train loss: 0.503185 accuracy: 0.843750
[0: 36/379] train loss: 1.039414 accuracy: 0.656250
[0: 37/379] train loss: 0.746926 accuracy: 0.750000
[0: 38/379] train loss: 0.819197 accuracy: 0.781250
[0: 39/379] train loss: 0.706510 accuracy: 0.875000
[0: 40/379] train loss: 0.590325 accuracy: 0.812500
[0: 40/379] [94mtest[39m loss: 1.299530 accuracy: 0.656250
[0: 41/379] train loss: 1.234695 accuracy: 0.656250
[0: 42/379] train loss: 0.887491 accuracy: 0.781250
[0: 43/379] train loss: 0.949176 accuracy: 0.687500
[0: 44/379] train loss: 0.773439 accuracy: 0.718750
[0: 45/379] train loss: 0.756041 accuracy: 0.812500
[0: 46/379] train loss: 0.656803 accuracy: 0.718750
[0: 47/379] train loss: 0.978300 accuracy: 0.718750
[0: 48/379] train loss: 0.885779 accuracy: 0.750000
[0: 49/379] train loss: 1.093841 accuracy: 0.750000
[0: 50/379] train loss: 0.838086 accuracy: 0.687500
[0: 50/379] [94mtest[39m loss: 0.792789 accuracy: 0.781250
[0: 51/379] train loss: 0.429597 accuracy: 0.906250
[0: 52/379] train loss: 0.702040 accuracy: 0.875000
[0: 53/379] train loss: 0.650536 accuracy: 0.812500
[0: 54/379] train loss: 0.642317 accuracy: 0.843750
[0: 55/379] train loss: 1.051240 accuracy: 0.750000
[0: 56/379] train loss: 0.751600 accuracy: 0.781250
[0: 57/379] train loss: 0.414562 accuracy: 0.937500
[0: 58/379] train loss: 0.747815 accuracy: 0.687500
[0: 59/379] train loss: 1.109992 accuracy: 0.687500
[0: 60/379] train loss: 0.655771 accuracy: 0.781250
[0: 60/379] [94mtest[39m loss: 0.698082 accuracy: 0.781250
[0: 61/379] train loss: 0.845397 accuracy: 0.718750
[0: 62/379] train loss: 0.530154 accuracy: 0.843750
[0: 63/379] train loss: 0.690675 accuracy: 0.750000
[0: 64/379] train loss: 0.847688 accuracy: 0.781250
[0: 65/379] train loss: 0.513805 accuracy: 0.906250
[0: 66/379] train loss: 0.728790 accuracy: 0.843750
[0: 67/379] train loss: 0.936094 accuracy: 0.718750
[0: 68/379] train loss: 0.808300 accuracy: 0.812500
[0: 69/379] train loss: 0.387185 accuracy: 0.906250
[0: 70/379] train loss: 0.547168 accuracy: 0.875000
[0: 70/379] [94mtest[39m loss: 0.788089 accuracy: 0.781250
[0: 71/379] train loss: 0.498437 accuracy: 0.781250
[0: 72/379] train loss: 0.383902 accuracy: 0.906250
[0: 73/379] train loss: 0.413311 accuracy: 0.843750
[0: 74/379] train loss: 1.028555 accuracy: 0.718750
[0: 75/379] train loss: 0.770718 accuracy: 0.781250
[0: 76/379] train loss: 0.680068 accuracy: 0.843750
[0: 77/379] train loss: 0.667766 accuracy: 0.812500
[0: 78/379] train loss: 1.089526 accuracy: 0.718750
[0: 79/379] train loss: 1.122875 accuracy: 0.656250
[0: 80/379] train loss: 0.907595 accuracy: 0.812500
[0: 80/379] [94mtest[39m loss: 0.403526 accuracy: 0.906250
[0: 81/379] train loss: 0.821270 accuracy: 0.750000
[0: 82/379] train loss: 0.465893 accuracy: 0.875000
[0: 83/379] train loss: 0.339406 accuracy: 0.906250
[0: 84/379] train loss: 0.743598 accuracy: 0.750000
[0: 85/379] train loss: 0.515743 accuracy: 0.875000
[0: 86/379] train loss: 0.768661 accuracy: 0.843750
[0: 87/379] train loss: 0.644371 accuracy: 0.812500
[0: 88/379] train loss: 0.593809 accuracy: 0.875000
[0: 89/379] train loss: 0.331864 accuracy: 0.906250
[0: 90/379] train loss: 0.657634 accuracy: 0.812500
[0: 90/379] [94mtest[39m loss: 0.201926 accuracy: 0.937500
[0: 91/379] train loss: 0.619631 accuracy: 0.875000
[0: 92/379] train loss: 0.650068 accuracy: 0.781250
[0: 93/379] train loss: 0.421954 accuracy: 0.875000
[0: 94/379] train loss: 0.353259 accuracy: 0.906250
[0: 95/379] train loss: 0.486729 accuracy: 0.843750
[0: 96/379] train loss: 0.384300 accuracy: 0.906250
[0: 97/379] train loss: 0.557320 accuracy: 0.843750
[0: 98/379] train loss: 0.665250 accuracy: 0.812500
[0: 99/379] train loss: 0.571162 accuracy: 0.843750
[0: 100/379] train loss: 0.725143 accuracy: 0.812500
[0: 100/379] [94mtest[39m loss: 0.260987 accuracy: 0.937500
[0: 101/379] train loss: 0.506723 accuracy: 0.875000
[0: 102/379] train loss: 1.161426 accuracy: 0.750000
[0: 103/379] train loss: 0.456569 accuracy: 0.875000
[0: 104/379] train loss: 0.449365 accuracy: 0.875000
[0: 105/379] train loss: 0.769075 accuracy: 0.812500
[0: 106/379] train loss: 0.523709 accuracy: 0.875000
[0: 107/379] train loss: 0.491702 accuracy: 0.843750
[0: 108/379] train loss: 0.511443 accuracy: 0.843750
[0: 109/379] train loss: 0.795629 accuracy: 0.781250
[0: 110/379] train loss: 0.246704 accuracy: 0.968750
[0: 110/379] [94mtest[39m loss: 0.707815 accuracy: 0.812500
[0: 111/379] train loss: 0.742972 accuracy: 0.781250
[0: 112/379] train loss: 0.551328 accuracy: 0.812500
[0: 113/379] train loss: 0.970779 accuracy: 0.718750
[0: 114/379] train loss: 0.736498 accuracy: 0.718750
[0: 115/379] train loss: 0.645546 accuracy: 0.750000
[0: 116/379] train loss: 0.441759 accuracy: 0.843750
[0: 117/379] train loss: 0.280551 accuracy: 0.968750
[0: 118/379] train loss: 0.491186 accuracy: 0.843750
[0: 119/379] train loss: 0.362693 accuracy: 0.906250
[0: 120/379] train loss: 0.289104 accuracy: 0.937500
[0: 120/379] [94mtest[39m loss: 0.416066 accuracy: 0.875000
[0: 121/379] train loss: 0.501263 accuracy: 0.875000
[0: 122/379] train loss: 0.453957 accuracy: 0.906250
[0: 123/379] train loss: 0.536965 accuracy: 0.875000
[0: 124/379] train loss: 0.869281 accuracy: 0.750000
[0: 125/379] train loss: 0.356307 accuracy: 0.906250
[0: 126/379] train loss: 0.736699 accuracy: 0.781250
[0: 127/379] train loss: 0.326903 accuracy: 0.906250
[0: 128/379] train loss: 0.366590 accuracy: 0.843750
[0: 129/379] train loss: 0.438772 accuracy: 0.875000
[0: 130/379] train loss: 0.542117 accuracy: 0.843750
[0: 130/379] [94mtest[39m loss: 0.246925 accuracy: 0.906250
[0: 131/379] train loss: 0.436029 accuracy: 0.875000
[0: 132/379] train loss: 0.361332 accuracy: 0.906250
[0: 133/379] train loss: 0.682189 accuracy: 0.812500
[0: 134/379] train loss: 0.574597 accuracy: 0.812500
[0: 135/379] train loss: 0.316060 accuracy: 0.906250
[0: 136/379] train loss: 0.742563 accuracy: 0.812500
[0: 137/379] train loss: 0.490783 accuracy: 0.812500
[0: 138/379] train loss: 0.129472 accuracy: 1.000000
[0: 139/379] train loss: 0.517446 accuracy: 0.812500
[0: 140/379] train loss: 0.521142 accuracy: 0.812500
[0: 140/379] [94mtest[39m loss: 0.139877 accuracy: 0.968750
[0: 141/379] train loss: 0.347486 accuracy: 0.875000
[0: 142/379] train loss: 0.379667 accuracy: 0.906250
[0: 143/379] train loss: 0.553454 accuracy: 0.812500
[0: 144/379] train loss: 0.410234 accuracy: 0.937500
[0: 145/379] train loss: 0.342235 accuracy: 0.906250
[0: 146/379] train loss: 0.414034 accuracy: 0.875000
[0: 147/379] train loss: 0.263112 accuracy: 0.937500
[0: 148/379] train loss: 0.446829 accuracy: 0.843750
[0: 149/379] train loss: 0.675809 accuracy: 0.875000
[0: 150/379] train loss: 1.055669 accuracy: 0.718750
[0: 150/379] [94mtest[39m loss: 0.246280 accuracy: 0.937500
[0: 151/379] train loss: 0.514376 accuracy: 0.843750
[0: 152/379] train loss: 0.412957 accuracy: 0.937500
[0: 153/379] train loss: 0.236155 accuracy: 0.968750
[0: 154/379] train loss: 0.461510 accuracy: 0.812500
[0: 155/379] train loss: 0.472990 accuracy: 0.906250
[0: 156/379] train loss: 0.769652 accuracy: 0.750000
[0: 157/379] train loss: 0.220229 accuracy: 0.937500
[0: 158/379] train loss: 0.531872 accuracy: 0.843750
[0: 159/379] train loss: 0.811168 accuracy: 0.750000
[0: 160/379] train loss: 0.512997 accuracy: 0.812500
[0: 160/379] [94mtest[39m loss: 0.293382 accuracy: 0.906250
[0: 161/379] train loss: 0.672467 accuracy: 0.843750
[0: 162/379] train loss: 0.484351 accuracy: 0.812500
[0: 163/379] train loss: 0.367648 accuracy: 0.906250
[0: 164/379] train loss: 1.160985 accuracy: 0.687500
[0: 165/379] train loss: 0.512162 accuracy: 0.843750
[0: 166/379] train loss: 0.672352 accuracy: 0.781250
[0: 167/379] train loss: 0.632614 accuracy: 0.750000
[0: 168/379] train loss: 0.718442 accuracy: 0.812500
[0: 169/379] train loss: 0.560936 accuracy: 0.843750
[0: 170/379] train loss: 0.317655 accuracy: 0.937500
[0: 170/379] [94mtest[39m loss: 0.311791 accuracy: 0.937500
[0: 171/379] train loss: 0.437609 accuracy: 0.906250
[0: 172/379] train loss: 0.567633 accuracy: 0.781250
[0: 173/379] train loss: 0.362326 accuracy: 0.906250
[0: 174/379] train loss: 0.825075 accuracy: 0.687500
[0: 175/379] train loss: 0.714369 accuracy: 0.843750
[0: 176/379] train loss: 0.570870 accuracy: 0.843750
[0: 177/379] train loss: 0.451031 accuracy: 0.875000
[0: 178/379] train loss: 0.756433 accuracy: 0.781250
[0: 179/379] train loss: 0.670626 accuracy: 0.843750
[0: 180/379] train loss: 0.388262 accuracy: 0.906250
[0: 180/379] [94mtest[39m loss: 0.833222 accuracy: 0.718750
[0: 181/379] train loss: 0.364300 accuracy: 0.906250
[0: 182/379] train loss: 0.355794 accuracy: 0.937500
[0: 183/379] train loss: 0.442977 accuracy: 0.875000
[0: 184/379] train loss: 0.502188 accuracy: 0.812500
[0: 185/379] train loss: 0.261740 accuracy: 0.937500
[0: 186/379] train loss: 0.213431 accuracy: 0.937500
[0: 187/379] train loss: 0.231110 accuracy: 0.906250
[0: 188/379] train loss: 0.454401 accuracy: 0.875000
[0: 189/379] train loss: 0.529564 accuracy: 0.812500
[0: 190/379] train loss: 0.453978 accuracy: 0.875000
[0: 190/379] [94mtest[39m loss: 0.701436 accuracy: 0.843750
[0: 191/379] train loss: 0.459014 accuracy: 0.875000
[0: 192/379] train loss: 0.625473 accuracy: 0.875000
[0: 193/379] train loss: 0.324738 accuracy: 0.906250
