2024-03-02 21:06:18,745 INFO    MainThread:826840 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-03-02 21:06:18,746 INFO    MainThread:826840 [wandb_setup.py:_flush():76] Configure stats pid to 826840
2024-03-02 21:06:18,746 INFO    MainThread:826840 [wandb_setup.py:_flush():76] Loading settings from /home/haoran/.config/wandb/settings
2024-03-02 21:06:18,746 INFO    MainThread:826840 [wandb_setup.py:_flush():76] Loading settings from /raid/haoran/Longzan/pointnet.pytorch/utils/wandb/settings
2024-03-02 21:06:18,746 INFO    MainThread:826840 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-02 21:06:18,746 INFO    MainThread:826840 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'utils/train_classification.py', 'program_abspath': '/raid/haoran/Longzan/pointnet.pytorch/utils/train_classification.py', 'program': 'train_classification.py'}
2024-03-02 21:06:18,746 INFO    MainThread:826840 [wandb_init.py:_log_setup():526] Logging user logs to /raid/haoran/Longzan/pointnet.pytorch/utils/wandb/run-20240302_210618-3llr5qr8/logs/debug.log
2024-03-02 21:06:18,746 INFO    MainThread:826840 [wandb_init.py:_log_setup():527] Logging internal logs to /raid/haoran/Longzan/pointnet.pytorch/utils/wandb/run-20240302_210618-3llr5qr8/logs/debug-internal.log
2024-03-02 21:06:18,746 INFO    MainThread:826840 [wandb_init.py:init():566] calling init triggers
2024-03-02 21:06:18,746 INFO    MainThread:826840 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'epochs': 26, 'method_for_training': 'random', 'method_for_val': 'random'}
2024-03-02 21:06:18,746 INFO    MainThread:826840 [wandb_init.py:init():616] starting backend
2024-03-02 21:06:18,746 INFO    MainThread:826840 [wandb_init.py:init():620] setting up manager
2024-03-02 21:06:18,747 INFO    MainThread:826840 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-02 21:06:18,747 INFO    MainThread:826840 [wandb_init.py:init():628] backend started and connected
2024-03-02 21:06:18,749 INFO    MainThread:826840 [wandb_init.py:init():720] updated telemetry
2024-03-02 21:06:18,788 INFO    MainThread:826840 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-02 21:06:19,813 INFO    MainThread:826840 [wandb_run.py:_on_init():2254] communicating current version
2024-03-02 21:06:22,440 INFO    MainThread:826840 [wandb_run.py:_on_init():2263] got version response upgrade_message: "wandb version 0.16.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-03-02 21:06:22,440 INFO    MainThread:826840 [wandb_init.py:init():804] starting run threads in backend
2024-03-02 21:06:23,379 INFO    MainThread:826840 [wandb_run.py:_console_start():2233] atexit reg
2024-03-02 21:06:23,379 INFO    MainThread:826840 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-03-02 21:06:23,379 INFO    MainThread:826840 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-03-02 21:06:23,379 INFO    MainThread:826840 [wandb_run.py:_redirect():2178] Redirects installed.
2024-03-02 21:06:23,380 INFO    MainThread:826840 [wandb_init.py:init():847] run started, returning control to user process
