Random Seed:  8458
{'Airplane': 0, 'Bag': 1, 'Cap': 2, 'Car': 3, 'Chair': 4, 'Earphone': 5, 'Guitar': 6, 'Knife': 7, 'Lamp': 8, 'Laptop': 9, 'Motorbike': 10, 'Mug': 11, 'Pistol': 12, 'Rocket': 13, 'Skateboard': 14, 'Table': 15}
{'Airplane': 4, 'Bag': 2, 'Cap': 2, 'Car': 4, 'Chair': 4, 'Earphone': 3, 'Guitar': 3, 'Knife': 2, 'Lamp': 4, 'Laptop': 2, 'Motorbike': 6, 'Mug': 2, 'Pistol': 3, 'Rocket': 3, 'Skateboard': 3, 'Table': 3} 4
{'Airplane': 0, 'Bag': 1, 'Cap': 2, 'Car': 3, 'Chair': 4, 'Earphone': 5, 'Guitar': 6, 'Knife': 7, 'Lamp': 8, 'Laptop': 9, 'Motorbike': 10, 'Mug': 11, 'Pistol': 12, 'Rocket': 13, 'Skateboard': 14, 'Table': 15}
{'Airplane': 4, 'Bag': 2, 'Cap': 2, 'Car': 4, 'Chair': 4, 'Earphone': 3, 'Guitar': 3, 'Knife': 2, 'Lamp': 4, 'Laptop': 2, 'Motorbike': 6, 'Mug': 2, 'Pistol': 3, 'Rocket': 3, 'Skateboard': 3, 'Table': 3} 4
{'Airplane': 0, 'Bag': 1, 'Cap': 2, 'Car': 3, 'Chair': 4, 'Earphone': 5, 'Guitar': 6, 'Knife': 7, 'Lamp': 8, 'Laptop': 9, 'Motorbike': 10, 'Mug': 11, 'Pistol': 12, 'Rocket': 13, 'Skateboard': 14, 'Table': 15}
{'Airplane': 4, 'Bag': 2, 'Cap': 2, 'Car': 4, 'Chair': 4, 'Earphone': 3, 'Guitar': 3, 'Knife': 2, 'Lamp': 4, 'Laptop': 2, 'Motorbike': 6, 'Mug': 2, 'Pistol': 3, 'Rocket': 3, 'Skateboard': 3, 'Table': 3} 4
12137 2874
classes 16
/home/haoran/.local/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
[0: 0/379] train loss: 2.886573 accuracy: 0.031250
[0: 0/379] [94mtest[39m loss: 2.793554 accuracy: 0.000000
[0: 1/379] train loss: 2.784688 accuracy: 0.062500
[0: 2/379] train loss: 2.260968 accuracy: 0.562500
[0: 3/379] train loss: 2.189841 accuracy: 0.437500
[0: 4/379] train loss: 1.951697 accuracy: 0.468750
[0: 5/379] train loss: 1.600662 accuracy: 0.687500
[0: 6/379] train loss: 1.324384 accuracy: 0.718750
[0: 7/379] train loss: 1.468616 accuracy: 0.656250
[0: 8/379] train loss: 1.405007 accuracy: 0.656250
[0: 9/379] train loss: 1.353934 accuracy: 0.625000
[0: 10/379] train loss: 1.153186 accuracy: 0.687500
[0: 10/379] [94mtest[39m loss: 2.754741 accuracy: 0.093750
[0: 11/379] train loss: 1.308481 accuracy: 0.656250
[0: 12/379] train loss: 1.476194 accuracy: 0.468750
[0: 13/379] train loss: 1.231226 accuracy: 0.687500
[0: 14/379] train loss: 1.258289 accuracy: 0.625000
[0: 15/379] train loss: 1.310059 accuracy: 0.625000
[0: 16/379] train loss: 1.158330 accuracy: 0.656250
[0: 17/379] train loss: 1.080346 accuracy: 0.750000
[0: 18/379] train loss: 1.643100 accuracy: 0.500000
[0: 19/379] train loss: 0.853827 accuracy: 0.812500
[0: 20/379] train loss: 1.103077 accuracy: 0.656250
[0: 20/379] [94mtest[39m loss: 2.338645 accuracy: 0.312500
[0: 21/379] train loss: 1.211418 accuracy: 0.656250
[0: 22/379] train loss: 1.170614 accuracy: 0.750000
[0: 23/379] train loss: 1.229527 accuracy: 0.562500
[0: 24/379] train loss: 1.087181 accuracy: 0.593750
[0: 25/379] train loss: 1.036215 accuracy: 0.750000
[0: 26/379] train loss: 0.890378 accuracy: 0.750000
[0: 27/379] train loss: 1.026011 accuracy: 0.750000
[0: 28/379] train loss: 0.862430 accuracy: 0.750000
[0: 29/379] train loss: 1.011270 accuracy: 0.656250
[0: 30/379] train loss: 1.075186 accuracy: 0.687500
[0: 30/379] [94mtest[39m loss: 2.462844 accuracy: 0.343750
[0: 31/379] train loss: 1.069960 accuracy: 0.687500
[0: 32/379] train loss: 0.947141 accuracy: 0.687500
[0: 33/379] train loss: 1.101215 accuracy: 0.593750
[0: 34/379] train loss: 1.261378 accuracy: 0.687500
